A001,Nguyễn Nhật Ánh,Hồ Chí Minh,0901111111
A002,Tô Hoài,Hà Nội,0902222222
A003,J.K. Rowling,London,0903333333
A004,Stephen King,Maine,0904444444
A005,Nguyễn Du,Hà Nội,0905555555
A006,Paulo Coelho,Rio de Janeiro,0906666666
A007,Ernest Hemingway,Cuba,0907777777
A008,Haruki Murakami,Tokyo,0908888888
A009,Trần Lập,Hà Nội,0909999999
A010,J.R.R. Tolkien,Oxford,0910000000
A011,Nam Cao,Hà Nam,0911111111
A012,Vũ Trọng Phụng,Hà Nội,0912222222
A013,Xuân Diệu,Hà Tĩnh,0913333333
A014,Hồ Xuân Hương,Hà Nội,0914444444
A015,Nguyễn Tuân,Hà Nội,0915555555
A016,George Orwell,London,0916666666
A017,Gabriel García Márquez,Colombia,0917777777
A018,Fyodor Dostoevsky,Moscow,0918888888
A019,Virginia Woolf,London,0919999999
A020,Leo Tolstoy,Moscow,0920000000
